"id","body","prompt"
"1306","{""0"":""My cousin, {whom} I have spoken to recently, is interested in journalism.""}","My cousin, _______ I have spoken to recently, is interested in journalism."
"1307","{""0"":""Is there a reason {why} you want my help?""}","Is there a reason _____ you want my help?"
"1308","{""0"":""There is no good reason {why} she didn't finish her paper.""}","There is no good reason _____ she didn't finish her paper."
"1309","{""0"":""I don't understand {why} some people are cruel.""}","I don't understand ______ some people are cruel."
"1310","{""0"":""I now understand {why} I received a B on this paper.""}","I now understand  <u>whom / why</u> I received a B on this paper."
"1311","{""0"":""What is the reason {why} you can't play this weekend?""}","What is the reason <u>whom / why</u> you can't play this weekend?"
"1312","{""0"":""The floorboards, {which} were put in ten years ago, have cracks.""}","The floorboards, <u>which, where, when</u> were put in ten years ago, have cracks."
"1313","{""0"":""My friend's new truck, {which} was on sale, needs some repair.""}","My friend's new truck, ____ was on sale, needs some repair."
"1314","{""0"":""Zoey's drawing, {which} was done with acrylic paint, dried quickly.""}","Zoey's drawing, _____ was done with acrylic paint, dried quickly."
"1315","{""0"":""Our summer home, {where} we vacation often, has big windows.""}","Our summer home, _____ we vacation often, has big windows."
"1316","{""0"":""My family often visits Maine because it is {where} the lobster is delicious.""}","My family often visits Maine because it is _____ the lobster is delicious."
"1317","{""0"":""We should eat at the dining room table since it is {where} the nice silverware is\\n  set.""}","We should eat at the dining room table since it is  ______ the nice silverware is set."
"1318","{""0"":""My favorite time of the year is the fall, {when} I can jump on all the leaves.""}","My favorite time of the year is the fall, ______ I can jump on all the leaves."
"1319","{""0"":""I work best in the morning, {when} everything is quiet.""}","I work best in the morning,  ______ everything is quiet."
"1320","{""0"":""In the summer, {when} it becomes hot, we open the windows.""}","In the summer,  ______ it becomes hot, we open the windows."
"1321","{""0"":""Is this the room {where} the new table is going?""}","Is this the room <u>which, where, when</u>the new table is going?"
"1322","{""0"":""The station {where} I picked up my grandmother looks very nice.""}","The station <u>which, where, when</u> I picked up my grandmother looks very nice."
"1323","{""0"":""Every Saturday we set aside some time {when} we all read the same book.""}","Every Saturday we set aside some time <u>which, where, when</u> we all read the same book."
"1324","{""0"":""I know someone {who} drives too recklessly.""}","I know someone <u>whose, whom, who</u> drives too recklessly."
"1325","{""0"":""I used to have a teacher {who} gave tests every week.""}","I used to have a teacher <u>whose, whom, who</u> gave tests every week."
"1326","{""0"":""My friend, {who} plays the cello, wants to go to Juilliard.""}","My friend, _____ plays the cello, wants to go to Juilliard."
"1327","{""0"":""My sister, {who} just graduated, wants to be a translator.""}","My sister, _______ just graduated, wants to be a translator."
"1328","{""0"":""Barry, {who} directed the play, is also a singer.""}","Barry, ________ directed the play, is also a singer."
"1329","{""0"":""Yuri, {whose} truck is in the shop, will be carpooling with us.""}","Yuri, _____ truck is in the shop, will be carpooling with us."
"1330","{""0"":""Dr. Jones, {whose} schedule is always busy, wants a vacation.""}","Dr. Jones, _____ schedule is always busy, wants a vacation."
"1331","{""0"":""Someone, {whose} name is unknown, painted this mural.""}","Someone, ______ name is unknown, painted this mural."
"1332","{""0"":""The man {whom} I spoke to told me to wait in the lobby.""}","The man _____ I spoke to told me to wait in the lobby."
"1333","{""0"":""My brother, {whom} my parents gave some money, needs a job.""}","My brother, ______ my parents gave some money, needs a job."
"1334","{""0"":""My cousin, {whom} I have spoken to recently, is interested in journalism.""}","My cousin, _____ I have spoken to recently, is interested in journalism."
"1335","{""0"":""I am looking for my friend {whose} shirt is blue.""}","I am looking for my friend <u>whose, whom, who</u> shirt is blue."
"1336","{""0"":""My girlfriend, {whose} house is nearby, will be picking us up.""}","My girlfriend, <u>whose, whom, who</u> house is nearby, will be picking us up."
"1337","{""0"":""My teacher, {whom} you spoke to recently, will meet with you tomorrow.""}","My teacher, <u>whose, whom, who</u> you spoke to recently, will meet with you tomorrow."
"1338","{""0"":""Daniel, {whom} I saw yesterday, is looking healthier.""}","Daniel, <u>whose, whom, who</u> I saw yesterday, is looking healthier."
"1339","{""0"":""The car {that} came in last place has two flat tires.""}","The car <u>why, that</u> came in last place has two flat tires."
"1340","{""0"":""I want the same kind of bag {that} Sheila has.""}","I want the same kind of bag <u>why, that</u> Sheila has."
"1341","{""0"":""The envelope {that} contained the winner's name was given to the host.""}","The envelope _____ contained the winner's name was given to the host."
"1342","{""0"":""George returned the book {that} I loaned him.""}","George returned the book ____ I loaned him."
"1343","{""0"":""Gabrielle wrote the essay {that} won the contest.""}","Gabrielle wrote the essay _____ won the contest."
"1344","{""0"":""Is there a reason {why} you want my help?""}","Is there a reason _____ you want my help?"
"1345","{""0"":""There is no good reason {why} she didn't finish her paper.""}","There is no good reason ______ she didn't finish her paper."
"1346","{""0"":""I don't understand {why} some people are cruel.""}","I don't understand _______ some people are cruel."
"1347","{""0"":""I now understand the reason {why} I received a B on this paper.""}","I now understand the reason <u>why, that</u> I received a B on this paper."
"1348","{""0"":""What is the reason {why} you can't play this weekend?""}","What is the reason <u>why, that</u>  you can't play this weekend?"
"1349","{""0"":""I used to have a teacher {who} gave tests every week.""}","I used to have a teacher <u>whose, whom, who</u> gave tests every week."
"1350","{""0"":""Dr. Jones, {whose} schedule is always busy, wants a vacation.""}","Dr. Jones, ______ schedule is always busy, wants a vacation."
"1351","{""0"":""Someone, {whose} name is unknown, painted this mural.""}","Someone,  ______ name is unknown, painted this mural."
"1352","{""0"":""My cousin, {whom} I have spoken to recently, is interested in journalism.""}","My cousin, _______ I have spoken to recently, is interested in journalism."
"1353","{""0"":""My girlfriend, {whose} house is nearby, will be picking us up.""}","My girlfriend,<u>whose, whom, who</u> house is nearby, will be picking us up."
"1354","{""0"":""The floorboards, {which} were put in ten years ago, have cracks.""}","The floorboards, <u>which, that</u> were put in ten years ago, have cracks."
"1355","{""0"":""My friend's new truck, {which} was on sale, needs some repair.""}","My friend's new truck, which was on sale, needs some repair."
"1356","{""0"":""George returned the book {that} I loaned him.""}","George returned the book  ______ I loaned him."
"1357","{""0"":""Gabrielle wrote the essay {that} won the contest.""}","Gabrielle wrote the essay ______ won the contest."
"1358","{""0"":""The car {that} came in last place has two flat tires.""}","The car <u>which, that</u> came in last place has two flat tires."
"1359","{""0"":""I want the same kind of bag {that} Sheila has.""}","I want the same kind of bag <u>which, that</u> Sheila has."
"1360","{""0"":""Is this the room {where} the new table is going?""}","Is this the room <u>where, why, when</u> the new table is going?"
"1361","{""0"":""The station {where} I picked up my grandmother looks very nice.""}","The station <u>where, why, when</u> I picked up my grandmother looks very nice."
"1362","{""0"":""I miss the summer vacations {when} I would relax all day.""}","I miss the summer vacations <u>where, why, when</u> I would relax all day."
"1363","{""0"":""Every Saturday we set aside some time {when} we all read the same book.""}","Every Saturday we set aside some time <u>where, why, when</u> we all read the same book."
"1364","{""0"":""I now understand the reason {why} I received a B on this paper.""}","I now understand the reason <u>where, why, when</u> I received a B on this paper."
"1365","{""0"":""What is the reason {why} you can't play this weekend?""}","What is the reason <u>where, why, when</u> you can't play this weekend?"
"1366","{""0"":""I am {going} to pick up my package immediately.""}","I am <u>go</u> to pick up my package immediately."
"1367","{""0"":""My cat is {licking} itself clean.""}","My cat is <u>licks</u> itself clean."
"1368","{""0"":""Mark is currently {finishing} the book I gave him.""}","Mark is currently <u>finish</u> the book I gave him."
"1369","{""0"":""Makayla {is looking} for her phone right now.""}","Makayla <u>look</u> for her phone right now."
"1370","{""0"":""I {am trying} to get into better shape.""}","I <u>try</u> to get into better shape."
"1371","{""0"":""You {are wearing} a crazy outfit!""}","You <u>wear</u> a crazy outfit!"
"1372","{""0"":""Drew was {answering} the door when the phone rang.""}","Drew was <u>answer</u> the door when the phone rang."
"1373","{""0"":""I {was listening} to music when you called me, so I couldn't hear you.""}","I <u>listen</u> to music when you called me, so I couldn't hear you."
"1374","{""0"":""You {were reading} webcomics while I was doing all the work.""}","You <u>read</u> webcomics while I was doing all the work."
"1375","{""0"":""Walt {was picking} berries all day to give to his brother and sister.""}","Walt <u>pick</u> berries all day to give to his brother and sister."
"1376","{""0"":""The fireworks will already {be going} off by the time you arrive.""}","The fireworks will already <u>go</u> off by the time you arrive."
"1377","{""0"":""For the next year, my friend will {be staying} with his aunt.""}","For the next year, my friend will <u>stay</u> with his aunt."
"1378","{""0"":""Mrs. Hall will {be visiting} her doctor, so today we will have a substitute.""}","Mrs. Hall will <u>visit</u> her doctor, so today we will have a substitute."
"1379","{""0"":""This evening, Brianna will {be playing} her first recital.""}","This evening, Brianna will <u>play</u> her first recital."
"1380","{""0"":""Mindy was {reading} in her bed when she felt a bug on her leg.""}","Mindy was <u>read</u> in her bed when she felt a bug on her leg."
"1381","{""0"":""You were {strolling} through the park when I called your name.""}","You were <u>strolled</u> through the park when I called your name."
"1382","{""0"":""My dad will {be waiting} to pick us up by the soccer field.""}","My dad will <u>wait</u> to pick us up by the soccer field."
"1383","{""0"":""Tonight, Danielle will {be working} late, so we need to be quiet.""}","Tonight, Danielle will <u>work</u> late, so we need to be quiet."
"1384","{""0"":""John thinks he is {stronger} than me, but I disagree.""}","John thinks he is <u>strong</u> than me, but I disagree."
"1385","{""0"":""Amy's hair is {shorter} than mine.""}","Amy's hair is <u>short</u> than mine."
"1386","{""0"":""That tree is {older} than the house next to it.""}","That tree is <u>old</u> than the house next to it."
"1387","{""0"":""It is raining {harder} than it was this morning.""}","It is raining <u>hard</u> than it was this morning."
"1388","{""0"":""It is much {colder} outside than inside.""}","It is much <u>cold</u> outside than inside."
"1389","{""0"":""You might be the {quickest} learner I have ever met.""}","You might be the <u>quick</u> learner I have ever met."
"1390","{""0"":""Of all the animals in the zoo, the lion is the {fiercest}.""}","Of all the animals in the zoo, the lion is the <u>fierce</u>."
"1391","{""0"":""This is the {cheapest} renting price I have ever seen.""}","This is the <u>cheap</u> renting price I have ever seen."
"1392","{""0"":""Antoine is the {smartest} student in the class.""}","Antoine is the <u>smart</u> student in the class."
"1393","{""0"":""Emily has the {fastest} time on the team.""}","Emily has the <u>fast</u> time on the team."
"1394","{""0"":""Tom is the {boldest} person I know.""}","Tom is the <u>bold</u> person I know."
"1395","{""0"":""Some bunnies are {fluffier} than others.""}","Some bunnies are <u>fluffy</u> than others."
"1396","{""0"":""My hair is {messier} than it was yesterday.""}","My hair is <u>messy</u> than it was yesterday."
"1397","{""0"":""Traveling is {easier} with a guide than without one.""}","Traveling is <u>easy</u> with a guide than without one."
"1398","{""0"":""Meat"",""1"":""eating animals are {feistier} than other animals.""}","Meat-eating animals are <u>feisty</u> than other animals."
"1399","{""0"":""Every day, my wedding ring looks {prettier} than before.""}","Every day, my wedding ring looks <u>pretty</u> than before."
"1400","{""0"":""The basement is the {dirtiest} part of this house.""}","The basement is the <u>dirty</u> part of this house."
"1401","{""0"":""That cheese is the {stinkiest} thing ever.""}","That cheese is the <u>stinky</u> thing ever."
"1402","{""0"":""Last night I watched the {scariest} movie I have seen.""}","Last night I watched the <u>scary</u> movie I have seen."
"1403","{""0"":""Who is the {funniest} person in class?""}","Who is the <u>funny</u> person in class?"
"1404","{""0"":""Out of all these hamsters, the {tiniest} one is the cutest.""}","Out of all these hamsters, the <u>tiny</u> one is the cutest."
"1405","{""0"":""I can't decide which movie I like the {best} of all.""}","I can't decide which movie I like the <u>good</u> of all."
"1406","{""0"":""Those boots are {better} for hiking than running.""}","Those boots are <u>good</u> for hiking than running."
"1407","{""0"":""Bill thinks he is the {best} at everything.""}","Bill thinks he is the <u>good</u> at everything."
"1408","{""0"":""She thinks tea is {better} with lemon than without lemon.""}","She thinks tea is <u>good</u> with lemon than without lemon."
"1409","{""0"":""My headache got {worse} before it got better.""}","My headache got <u>bad</u> before it got better."
"1410","{""0"":""This movie is not good, but I've seen {worse} movies.""}","This movie is not good, but I've seen <u>bad</u> movies."
"1411","{""0"":""This is the {worst} storm I've ever seen.""}","This is the <u>bad</u> storm I've ever seen."
"1412","{""0"":""Right now is the {worst} time for someone to call me.""}","Right now is the <u>bad</u> time for someone to call me."
"1413","{""0"":""! '{\\""\\""My Paper\\""\\""} is not an acceptable title for your paper.'""}","""""my paper"""" is not an acceptable title for your paper."
"1414","{""0"":""Many children know the old rhyme, {\\""\\""Ring Around the Rosie.\\""\\""}""}","Many children know the old rhyme, <u>""""ring around the rosie / Ring Around the Rosie.""""</u>"
"1415","{""0"":""Who wrote {\\""\\""The Catcher in the Rye?\\""\\""}""}","Who wrote """"the catcher in the rye?"""""
"1416","{""0"":""My favorite movie is {\\""\\""Gone with the Wind.\\""\\""}""}","My favorite movie is """"gone with the wind."""""
"1417","{""0"":""The acting troupe calls themselves {\\""\\""The Old Boys.\\""\\""}""}","The acting troupe calls themselves """"the old boys."""""
"1418","{""0"":""'\\""\\""{Charlotte's Web}\\""\\"" has a sad ending.'""}","""""charlotte's web"""" has a sad ending."
"1419","{""0"":""! '{\\""\\""Stuart Little\\""\\""} may be the most famous mouse book.'""}","""""Stuart little"""" may be the most famous mouse book."
"1420","{""0"":""Have you read \\""\\""{How to Eat Fried Worms}?\\""\\""""}","Have you read """"how To eat fried worms?"""""
"1421","{""0"":""! '{\\""\\""A Wrinkle in Time\\""\\""} is one of my favorite books.'""}","""""A wrinkle In time"""" is one of my favorite books."
"1422","{""0"":""I {broke} my arm when I was skating.""}","I <u>break / broke</u> my arm when I was skating."
"1423","{""0"":""I am sorry that I {broke} your window.""}","I am sorry that I <u>break</u> your window."
"1424","{""0"":""I {broke} the chocolate in half before eating it.""}","I <u>break</u> the chocolate in half before eating it."
"1425","{""0"":""Eli {broke} the school record by 30 seconds.""}","Eli <u>break</u> the school record by 30 seconds."
"1426","{""0"":""Rome wasn't {built} in a day.""}","Rome wasn't <u>build</u> in a day."
"1427","{""0"":""I {built} sand castles every time I went to the beach.""}","I <u>build</u> sand castles every time I went to the beach."
"1428","{""0"":""I {built} a tree house last summer.""}","I <u>build</u> a tree house last summer."
"1429","{""0"":""We {built} a birdhouse in the front yard.""}","We <u>build</u> a birdhouse in the front yard."
"1430","{""0"":""We {built} sculptures out of modeling clay last week.""}","We <u>build</u> sculptures out of modeling clay last week."
"1431","{""0"":""Our new neighbors {came} by and introduced themselves.""}","Our new neighbors <u>come / came</u> by and introduced themselves."
"1432","{""0"":""My cousins {came} to visit last weekend.""}","My cousins <u>come</u> to visit last weekend."
"1433","{""0"":""Mika {came} close to winning the election.""}","Mika <u>come</u> close to winning the election."
"1434","{""0"":""Reese {did} one hundred pushups before stopping.""}","Reese <u>did</u> one hundred pushups before stopping."
"1435","{""0"":""We {went} to the top of the hill with our sled.""}","We <u>go</u> to the top of the hill with our sled."
"1436","{""0"":""Lou {did} most of the cleaning while I went to the store.""}","Lou <u>do / did</u> most of the cleaning while I went to the store."
"1437","{""0"":""Kim {did} very well on her exam.""}","Kim <u>did</u> very well on her exam."
"1438","{""0"":""This morning, we {went} swimming at the beach.""}","This morning, we <u>go / went</u> swimming at the beach."
"1439","{""0"":""My teacher {went} to the West Coast to attend a funeral.""}","My teacher <u>go</u> to the West Coast to attend a funeral."
"1440","{""0"":""Ian {wrote} a five page essay for his final project.""}","Ian <u>write / wrote</u> a five page essay for his final project."
"1441","{""0"":""My uncle {wrote} to us every week when he was in Korea.""}","My uncle <u>write / wrote</u> to us every week when he was in Korea."
"1442","{""0"":""The stenographer {wrote} everything said in court.""}","The stenographer <u>write</u> everything said in court."
"1443","{""0"":""I just {wrote} that essay.""}","I just <u>write</u> that essay."
"1444","{""0"":""The radio show host {spoke} with a soothing voice.""}","The radio show host <u>speak</u> with a soothing voice."
"1445","{""0"":""I {spoke} French well.""}","I <u>speak</u> French well."
"1446","{""0"":""We {wrote} lots of essays in English class.""}","We <u>write</u> lots of essays in English class."
"1447","{""0"":""The couple {spoke} very gently to their newborn baby.""}","The couple <u>speak / spoke</u> very gently to their newborn baby."
"1448","{""0"":""I {spoke} to her last week, but haven't seen her since.""}","I <u>speak</u> to her last week, but haven't seen her since."
"1449","{""0"":""The students {sat} in groups of five.""}","The students <u>sit</u> in groups of five."
"1450","{""0"":""My dog {hid} under the blankets during the storm.""}","My dog <u>hide</u> under the blankets during the storm."
"1451","{""0"":""We {hid} in the basement for hours.""}","We <u>hide</u> in the basement for hours."
"1452","{""0"":""I accidentally {sat} on a wet bench.""}","I accidentally <u>sit / sat</u> on a wet bench."
"1453","{""0"":""The monk {sat} quietly meditating for hours.""}","The monk <u>sit / sat</u> quietly meditating for hours."
"1454","{""0"":""The magpie {hid} its food in a little hole.""}","The magpie <u>hid / hide</u> its food in a little hole."
"1455","{""0"":""We {hid} from our camp counselor as long as we could.""}","We <u>hid / hide</u> from our camp counselor as long as we could."
"1456","{""0"":""My teacher {knew} nobody did their work yesterday.""}","My teacher <u>know / knew</u> nobody did their work yesterday."
"1457","{""0"":""Jake {knew} the answer, so he raised his hand.""}","Jake <u>know</u> the answer, so he raised his hand."
"1458","{""0"":""My sister {knew} I ate the last cookie, but didn't say anything.""}","My sister <u>know</u> I ate the last cookie, but didn't say anything."
"1459","{""0"":""I {made} a lot of mistakes this year, but I learned a lot too.""}","I <u>make</u> a lot of mistakes this year, but I learned a lot too."
"1460","{""0"":""Cody {made} a recording of his new song.""}","Cody <u>make</u> a recording of his new song."
"1461","{""0"":""My mom {made} me a sandwich this morning.""}","My mom <u>make</u> me a sandwich this morning."
"1462","{""0"":""Zach isn't related to us, but over time he {became} one of the family.""}","Zach isn't related to us, but over time he <u>become</u> one of the family."
"1463","{""0"":""I had to study abroad before I {became} fluent in German.""}","I had to study abroad before I <u>become</u> fluent in German."
"1464","{""0"":""Using only three colors, Shaun {made} a beautiful painting.""}","Using only three colors, Shaun <u>make</u> a beautiful painting."
"1465","{""0"":""Our coach {became} very upset with us for skipping practice.""}","Our coach <u>become / became</u> very upset with us for skipping practice."
"1466","{""0"":""I can't really tell you what he looked like since I only {saw} him for a moment.""}","I can't really tell you what he looked like since I only <u>see / saw</u> him for a moment."
"1467","{""0"":""I {saw} Hamlet last month, so I don't want to go see it again tonight.""}","I <u>see</u> Hamlet last month, so I don't want to go see it again tonight."
"1468","{""0"":""I'm jealous of my brother, because he {saw} the concert last night.""}","I'm jealous of my brother, because he <u>see</u> the concert last night."
"1469","{""0"":""! '\\""\\""Those gophers {dug} tunnels under my whole lawn!\\""\\""'""}","""""Those gophers <u>dig</u> tunnels under my whole lawn!"""""
"1470","{""0"":""When they built the house, they made sure they {dug} the foundation deep enough.""}","When they built the house, they made sure they <u>dig</u> the foundation deep enough."
"1471","{""0"":""After looking for hours, I {found} my pet hamster.""}","After looking for hours, I <u>find</u> my pet hamster."
"1472","{""0"":""After searching for a year, Kira {found} a career as an interpreter.""}","After searching for a year, Kira <u>find</u> a career as an interpreter."
"1473","{""0"":""Blackbeard {dug} a deep hole and buried his chest there, where nobody would look.""}","Blackbeard <u>dig / dug</u> a deep hole and buried his chest there, where nobody would look."
"1474","{""0"":""I {found} three quarters in the couch.""}","I <u>find / found</u> three quarters in the couch."
"1475","{""0"":""I think I hurt [myself} playing basketball yesterday.""}","I think I hurt <u>me / myself</u> playing basketball yesterday."
"1476","{""0"":""I dressed {myself} nicely for this occasion.""}","I dressed <u>me</u> nicely for this occasion."
"1477","{""0"":""He gave {me} a great haircut.""}","He gave <u>myself</u> a great haircut."
"1478","{""0"":""You need to discipline {yourself} to become a good athlete.""}","You need to discipline <u>you</u> to become a good athlete."
"1479","{""0"":""You can keep {yourself} healthy by eating well.""}","You can keep <u>you</u> healthy by eating well."
"1480","{""0"":""You guys should pace {yourselves}.""}","You guys should pace <u>you</u>."
"1481","{""0"":""You all made {yourselves} into disciplined athletes.""}","You all made <u>you</u> into disciplined athletes."
"1482","{""0"":""Please don't hurt {yourself}.""}","Please don't hurt <u>you / yourself</u>."
"1483","{""0"":""You may all help {yourselves} to some appetizers.""}","You may all help <u>you / yourselves</u> to some appetizers."
"1484","{""0"":""After a long trek, the hiker checked {himself} for ticks.""}","After a long trek, the hiker checked <u>him / himself</u> for ticks."
"1485","{""0"":""Once Jack applies {himself} to the job, he does good work.""}","Once Jack applies <u>him</u> to the job, he does good work."
"1486","{""0"":""He is training {himself} to become a violinist.""}","He is training <u>him</u> to become a violinist."
"1487","{""0"":""She prepared {herself} before walking into the audition.""}","She prepared <u>her</u> before walking into the audition."
"1488","{""0"":""Natalie sees {herself} owning a small business soon.""}","Natalie sees <u>her</u> owning a small business soon."
"1489","{""0"":""The caterpillar builds {itself} a cocoon to become a butterfly.""}","The caterpillar builds <u>it</u> a cocoon to become a butterfly."
"1490","{""0"":""The defiant little bird freed {itself} from its cage.""}","The defiant little bird freed <u>it</u> from its cage."
"1491","{""0"":""We dressed {ourselves} up in our Halloween costumes.""}","We dressed <u>our</u> up in our Halloween costumes."
"1492","{""0"":""Tonight we will treat {ourselves} to a barbecue.""}","Tonight we will treat <u>us</u> to a barbecue."
"1493","{""0"":""She did a good job, so she treated {herself} to some ice cream.""}","She did a good job, so she treated <u>her / herself</u> to some ice cream."
"1494","{""0"":""Can the toy car move {itself} forward?""}","Can the toy car move <u>it / itself</u> forward?"
"1495","{""0"":""Let's assign {ourselves} some tasks before splitting up.""}","Let's assign <u>our / ourselves</u> some tasks before splitting up."
"1496","{""0"":""I go to bed {at} 9:00 P.M.""}","I go to bed ______ 9:00 P.M."
"1497","{""0"":""The train will arrive {at} 4:30 P.M.""}","The train will arrive ______ 4:30 P.M."
"1498","{""0"":""We are supposed to meet back here {at} 2:00 P.M.""}","We are supposed to meet back here ______ 2:00 P.M."
"1499","{""0"":""The birds take flight {at} six o'clock in the morning.""}","The birds take flight ______ six o'clock in the morning."
"1500","{""0"":""Class will end {at} 11:00 today.""}","Class will end _____ 11:00 today."
"1501","{""0"":""Flowers always bloom {in} the spring.""}","Flowers always bloom ( at / in / on ) the spring."
"1502","{""0"":""I will practice piano {in} the morning.""}","I will practice piano _____ the morning."
"1503","{""0"":""{In} the winter, my family likes to stay at our cabin.""}","____ the winter, my family likes to stay at our cabin."
"1504","{""0"":""My professor likes to hold discussions {in} the evening.""}","My professor likes to hold discussions _____ the evening."
"1505","{""0"":""I think our next vacation is {in} March.""}","I think our next vacation is _____ March."
"1506","{""0"":""Is our next quiz {on} Thursday?""}","Is our next quiz _____ Thursday?"
"1507","{""0"":""Our next big game is {on} the 6th of March.""}","Our next big game is _____ the 6th of March."
"1508","{""0"":""We will go to the swap meet {on} Friday.""}","We will go to the swap meet _____ Friday."
"1509","{""0"":""{On} Monday, we will learn how magnets work.""}","_____ Monday, we will learn how magnets work."
"1510","{""0"":""Don't move, there is something {on} your shoulder.""}","Don't move, there is something _____ your shoulder."
"1511","{""0"":""{In} the spring, my family and I go to the lakeside.""}","_____ the spring, my family and I go to the lakeside."
"1512","{""0"":""My parents' anniversary is {on} the 12th.""}","My parents' anniversary is _____ the 12th."
"1513","{""0"":""She parked her car {at} the local diner.""}","She parked her car _____ the local diner."
"1514","{""0"":""I live {at} the end of my street.""}","I live _____ the end of my street."
"1515","{""0"":""Why don't we meet {at} my place tonight?""}","Why don't we meet _____ my place tonight?"
"1516","{""0"":""My sister works {at} a law firm.""}","My sister works _____ a law firm."
"1517","{""0"":""The Running of the Bulls still occurs every year {in} Spain.""}","The Running of the Bulls still occurs every year ( at / in / on ) Spain."
"1518","{""0"":""Don't tell me you locked your keys {in} your car again.""}","Don't tell me you locked your keys _____ your car again."
"1519","{""0"":""I keep my new wallet {in} my pocket.""}","I keep my new wallet _____ my pocket."
"1520","{""0"":""The car had a built {in} safe for emergencies.""}","The car had a built  ( in / at / on ) safe for emergencies."
"1521","{""0"":""Let's put these books {in} a box and ship them.""}","Let's put these books ______ a box and ship them."
"1522","{""0"":""Let's place the table {on} the floor.""}","Let's place the table _____ the floor."
"1523","{""0"":""All the gazelles {on} the plain are galloping.""}","All the gazelles _____ the plain are galloping."
"1524","{""0"":""The zig"",""1"":""zag print {on} the carpet is exotic.""}","The zig-zag print ______ the carpet is exotic."
"1525","{""0"":""Remember to mark the date {on} your calendars.""}","Remember to mark the date _____ your calendars."
"1526","{""0"":""We set up laser tag {in} the living room.""}","We set up laser tag _____ the living room."
"1527","{""0"":""There is a wreath hanging {on} the wall.""}","There is a wreath hanging ______ the wall."
"1528","{""0"":""I think I hear {a} woodpecker.""}","I think I hear <u>a / an</u> woodpecker."
"1529","{""0"":""Houston, we have {a} problem.""}","Houston, we have <u>a / an</u> problem."
"1530","{""0"":""I can't drive {a} car yet.""}","I can't drive ____ car yet."
"1531","{""0"":""{A} magician doesn't reveal his tricks.""}","____ magician doesn't reveal his tricks."
"1532","{""0"":""Yesterday, I learned how to ride {a} bike.""}","Yesterday, I learned how to ride _____ bike."
"1533","{""0"":""Did anybody see {a} giraffe nearby?""}","Did anybody see ____ giraffe nearby?"
"1534","{""0"":""There is {a} lioness protecting her cubs.""}","There is _____ lioness protecting her cubs."
"1535","{""0"":""{A} snake slithered across the path.""}","_____ snake slithered across the path."
"1536","{""0"":""My friend bought me {a} top hat for graduation.""}","My friend bought me _____ top hat for graduation."
"1537","{""0"":""We will need {a} big turkey for the stew.""}","We will need _____ big turkey for the stew."
"1538","{""0"":""There's {an} open box on the table.""}","There's _____ open box on the table."
"1539","{""0"":""They went to {an} ice skating rink.""}","They went to _____ ice skating rink."
"1540","{""0"":""There is {an} easy way to solve this problem.""}","There is ____ easy way to solve this problem."
"1541","{""0"":""There is {an} elephant on the plane, so be careful.""}","There is ____ elephant on the plane, so be careful."
"1542","{""0"":""I saw {an} opportunity, so I took it.""}","I saw _____ opportunity, so I took it."
"1543","{""0"":""Did you know that Salvador Dali owned {an} anteater?""}","Did you know that Salvador Dali owned _____ anteater?"
"1544","{""0"":""An ostrich is {a} large bird.""}","<u>A / An</u> ostrich is a large bird."
"1545","{""0"":""{An} apple a day keeps the doctor away.""}","<u>A / An</u> apple a day keeps the doctor away."
"1546","{""0"":""{This} new computer here runs faster than that one.""}","_____ new computer here runs faster than that one."
"1547","{""0"":""{This} chart here is a Venn diagram.""}","_____ chart here is a Venn diagram."
"1548","{""0"":""{That} coffeehouse across the street has a new look.""}","_____ coffeehouse across the street has a new look."
"1549","{""0"":""{This} movie I have is a classic.""}","_____ movie I have is a classic."
"1550","{""0"":""{That} man over there is my brother.""}","_____ man over there is my brother."
"1551","{""0"":""{This} is my house right here.""}","_____ is my house right here."
"1552","{""0"":""{That} library over there is very popular.""}","<u>This / that</u> library over there is very popular."
"1553","{""0"":""{That} stained glass up there looks nice in the sun.""}","<u>This / That</u> stained glass up there looks nice in the sun."
"1554","{""0"":""You should read {this} book I have when I'm done with it.""}","You should read <u>this / that</u> book I have when I'm done with it."
"1555","{""0"":""{This} sweater I am wearing is itchy.""}","<u>This / That</u> sweater I am wearing is itchy."
"1556","{""0"":""The otter I saw at {the} zoo was cute.""}","The otter I saw at <u>an / the</u> zoo was cute."
"1557","{""0"":""{The} picture I am holding is of my grandma.""}","( A / The ) picture I am holding is of my grandma."
"1558","{""0"":""Is that {the} best you've got?""}","Is that _____ best you've got?"
"1559","{""0"":""Please pass {the} gravy.""}","Please pass _____ gravy."
"1560","{""0"":""Joel has his head in {the} clouds.""}","Joel has his head in _____ clouds."
"1561","{""0"":""Who ate {the} last biscotti?""}","Who ate _____ last biscotti?"
"1562","{""0"":""This shirt is {the} wrong size.""}","This shirt is _____ wrong size."
"1563","{""0"":""Jayson is kind of {a} burly guy.""}","Jayson is kind of _____ burly guy."
"1564","{""0"":""There is {a} concert I want to attend.""}","There is _____ concert I want to attend."
"1565","{""0"":""There has to be {an} easy way out of this complex.""}","There has to be _____ easy way out of this complex."
"1566","{""0"":""Travelling is {an} incredible experience.""}","Travelling is ___ incredible experience."
"1567","{""0"":""Even {the} best of friends still argue.""}","Even ____ best of friends still argue."
"1568","{""0"":""{The} Dodgers were the World Champions in 1955.""}","____ Dodgers were the World Champions in 1955."
